"label","name","lat","lng"
"Bus Stop","Radcliffe St/Dynon Rd (West Melbourne)",-37.803557,144.932023
"Bus Stop","Queensberry St/Lygon St (Carlton)",-37.80457,144.966376
"Bus Stop","Royal Melbourne Hospital/Royal Pde (Parkville)",-37.79774,144.957602
"Bus Stop","Collins Square/Batmans Hill Dr (Docklands)",-37.821157,144.949027
"Bus Stop","Batmans Hill Dr/Collins St (Docklands)",-37.820438,144.949115
"Bus Stop","Melbourne Observatory/Birdwood Ave (Melbourne City)",-37.829848,144.974215
"Bus Stop","Little Lonsdale St/Queen St (Melbourne City)",-37.811789,144.959135
"Bus Stop","Shrine of Remembrance/Birdwood Ave (Melbourne City)",-37.829697,144.974321
"Bus Stop","Melbourne University/Pelham St (Carlton)",-37.801993,144.959087
"Bus Stop","Elizabeth St/Lonsdale St (Melbourne City)",-37.812511,144.961784
"Bus Stop","King St/Lonsdale St (Melbourne City)",-37.814255,144.955807
"Bus Stop","Royal Australasian College of Surgeons/Victoria Pde (East Melbourne)",-37.808092,144.972538
"Bus Stop","Dudley St/Footscray Rd (West Melbourne)",-37.81226,144.942663
"Bus Stop","Harcourt St/Courtney St (North Melbourne)",-37.799299,144.950802
"Bus Stop","Courtney St/Wreckyn St (North Melbourne)",-37.800937,144.953301
"Bus Stop","Royal Melbourne Hospital/Grattan St (Parkville)",-37.799438,144.955738
"Bus Stop","Cardigan St/Grattan St (Carlton)",-37.800466,144.965114
"Bus Stop","Lygon St/Grattan St (Carlton)",-37.800608,144.966552
"Bus Stop","Southern Cross Station/Collins St (Melbourne City)",-37.819325,144.953509
"Bus Stop","Southern Cross Station/Collins St (Melbourne City)",-37.819179,144.95341
"Bus Stop","A'Beckett St/Queen St (Melbourne City)",-37.809659,144.95841
"Bus Stop","Melbourne University/Pelham St (Carlton)",-37.802042,144.960346
"Bus Stop","Melbourne University/Grattan St (Carlton)",-37.800116,144.96208
"Bus Stop","Royal Melbourne Hospital/Flemington Rd (North Melbourne)",-37.800179,144.955332
"Bus Stop","Royal Melbourne Hospital/Grattan St (Parkville)",-37.799409,144.955626
"Bus Stop","Melbourne University/Grattan St (Parkville)",-37.800082,144.961661
"Bus Stop","Moonee Ponds Creek/Footscray Rd (West Melbourne)",-37.810125,144.937031
"Bus Stop","Footscray Rd (West Melbourne)",-37.807762,144.920037
"Bus Stop","Moonee Ponds Creek/386 Footscray Rd (West Melbourne)",-37.809843,144.937414
"Bus Stop","North Melbourne Station/Dryburgh St (West Melbourne)",-37.806807,144.942644
"Bus Stop","Lincoln Square/Bouverie St (Carlton)",-37.801986,144.962335
"Bus Stop","Abbotsford St/Haines St (North Melbourne)",-37.798607,144.946789
"Bus Stop","Curzon St/Haines St (North Melbourne)",-37.798883,144.949212
"Bus Stop","O'Shanassy St/Errol St (North Melbourne)",-37.799899,144.950104
"Bus Stop","Dowling Pl/Wreckyn St (North Melbourne)",-37.801047,144.953423
"Bus Stop","Swanston St/Grattan St (Carlton)",-37.800573,144.964532
"Bus Stop","Lygon St/Grattan St (Carlton)",-37.800769,144.966514
"Bus Stop","Rathdowne St/Grattan St (Carlton)",-37.801089,144.969379
"Bus Stop","Westside Ave/Lorimer St (Port Melbourne)",-37.820874,144.919021
"Bus Stop","715 Lorimer St (Port Melbourne)",-37.820678,144.924741
"Bus Stop","Hall St/Lorimer St (Port Melbourne)",-37.820927,144.927131
"Bus Stop","Graham St/Lorimer St (Port Melbourne)",-37.821479,144.930342
"Bus Stop","Ingles St/Lorimer St (Port Melbourne)",-37.821931,144.932465
"Bus Stop","Rogers St/Lorimer St (Port Melbourne)",-37.822729,144.936373
"Bus Stop","Hartley St/Lorimer St (Southbank)",-37.823685,144.941027
"Bus Stop","West Gate Fwy/Lorimer St (Southbank)",-37.825071,144.945056
"Bus Stop","Lorimer St/Salmon St (Port Melbourne)",-37.821421,144.920891
"Bus Stop","Turner St/Salmon St (Port Melbourne)",-37.823732,144.921622
"Bus Stop","Phillip Ct/Salmon St (Port Melbourne)",-37.825888,144.9223
"Bus Stop","Turner St/Salmon St (Port Melbourne)",-37.823738,144.921451
"Bus Stop","Lorimer St/Salmon St (Port Melbourne)",-37.822405,144.921023
"Bus Stop","Clarendon St/City Rd (Southbank)",-37.828235,144.957512
"Bus Stop","West Gate Fwy/Lorimer St (Southbank)",-37.825308,144.94522
