census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2009,218,106217,106217,292 Lygon Street CARLTON 3053,Carlton,292 Lygon Street CARLTON 3053,Minzaman Lebanese Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,20,144.96733,-37.80014,4.3
2011,64,105873,105873,362-364 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Ground  362 Little Bourke Street MELBOURNE 3000,+39 Pizzeria & Antipasteria,4511,Cafes and Restaurants,Seats - Indoor,66,144.96175,-37.81327,4.1
2005,1109,601810,593728,439-441 Docklands Drive DOCKLANDS 3008,Docklands,Shop 1 439-441 Docklands Drive DOCKLANDS 3008,Starbucks Waterfront City,4511,Cafes and Restaurants,Seats - Outdoor,60,144.95056,-37.81453,4.1
2004,760,108643,108643,505-507 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Rear Ground  505 St Kilda Road MELBOURNE 3004,Bite Com Au Pty Ltd,4511,Cafes and Restaurants,Seats - Outdoor,25,144.97792,-37.84535,4.4
2015,17,103591,103591,1-9 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Shop 4 9 Exhibition Street MELBOURNE 3000,Coco Latte Cafe,4511,Cafes and Restaurants,Seats - Indoor,15,144.97204,-37.81584,3.5
2019,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Part Ground  174-192 Exhibition Street MELBOURNE 3000,Locanda Italian Steakhouse,4511,Cafes and Restaurants,Seats - Indoor,90,144.9706,-37.81122,4
2012,651,107430,107430,2-12 Parliament Place EAST MELBOURNE 3002,East Melbourne,Basement  2-6 Parliament Place EAST MELBOURNE 3002,The Commune,4511,Cafes and Restaurants,Seats - Outdoor,47,144.97575,-37.81162,4
2021,804,110988,110988,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,43 South Wharf Promenade SOUTH WHARF VIC 3006,Charlie Lovett,4511,Cafes and Restaurants,Seats - Outdoor,40,144.95061,-37.82411,4.4
2020,931,110273,110273,Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Parkville,Restaurant Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Lakeside Bistro And Function Centre,4511,Cafes and Restaurants,Seats - Outdoor,240,144.95163,-37.78462,3.6
2003,254,106090,106090,135-137 Lygon Street CARLTON 3053,Carlton,135-137 Lygon Street CARLTON 3053,Nick's Souvlaki Bar,4511,Cafes and Restaurants,Seats - Outdoor,9,144.96476,-37.80555,3.4
2011,255,109366,109366,127-135 Pelham Street CARLTON 3053,Carlton,127-0 Pelham Street CARLTON 3053,Chai,4511,Cafes and Restaurants,Seats - Outdoor,10,144.96395,-37.80277,4.1
2017,14,108114,108114,28-38 Queen Street MELBOURNE 3000,Melbourne (CBD),Shop 2 Ground  34 Queen Street MELBOURNE 3000,Cafe 34,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96244,-37.81799,3.7
2016,62,105862,105862,542-546 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Shop 1 Ground  542-546 Little Bourke Street MELBOURNE 3000,SMXL,4511,Cafes and Restaurants,Seats - Indoor,50,144.95505,-37.81645,4.1
