"lat","lng","name"
-37.814383,144.970514,"7-Exhibition St/Collins St (Melbourne City)"
-37.8263,144.960803,"116-City Rd/Kings Way (Southbank)"
-37.818167,144.976204,"7A-William Barak Bridge/Melbourne Park (Melbourne City)"
-37.818323,144.975825,"7A-William Barak Bridge/Melbourne Park (Melbourne City)"
-37.845361,144.982313,"26-Alfred Hospital/Commercial Rd (Prahran)"
-37.802826,144.947944,"13-Curzon St/Queensberry St (North Melbourne)"
-37.802987,144.949405,"12-North Melbourne Town Hall/Queensberry St (North Melbourne)"
-37.799478,144.954886,"14-Royal Melbourne Hospital/Flemington Rd (Parkville)"
-37.796419,144.951052,"16-Harker St/Flemington Rd (Parkville)"
-37.794282,144.948363,"19-Royal Childrens Hospital/Flemington Rd (North Melbourne)"
-37.788276,144.940932,"22-Flemington Bridge Station/Flemington Rd (North Melbourne)"
-37.826076,144.956208,"125-Port Junction/79 Whiteman St (Southbank)"
-37.838028,144.984536,"124-Walsh St/Toorak Rd (South Yarra)"
-37.83821,144.986269,"125-Punt Rd/Toorak Rd (South Yarra)"
-37.797027,144.966355,"112-Lygon St/Elgin St (Carlton)"
-37.794138,144.968127,"113-Lytton St/Lygon St (Carlton)"
-37.827453,144.953988,"125A-Southbank Tram Depot/Light Rail (South Melbourne)"
-37.824532,144.988436,"8-Richmond Station/Swan St (Cremorne)"
-37.799305,144.964192,"1-Melbourne University/Swanston St (Carlton)"
-37.80237,144.963687,"3-Lincoln Square/Swanston St (Carlton)"
-37.805694,144.963108,"4-Queensberry St/Swanston St (Carlton)"
-37.808139,144.96329,"7-RMIT University/Swanston St (Melbourne City)"
-37.810382,144.964274,"8-Melbourne Central Station/Swanston St (Melbourne City)"
-37.813199,144.965582,"10-Bourke Street Mall/Swanston St (Melbourne City)"
-37.816378,144.967017,"11-City Square/Swanston St (Melbourne City)"
-37.818476,144.967982,"13-Federation Square/Swanston St (Melbourne City)"
-37.821846,144.969514,"14-Arts Precinct/St Kilda Rd (Southbank)"
-37.824169,144.970473,"17-Grant St-Police Memorial/St Kilda Rd (Southbank)"
-37.828799,144.971369,"19-Shrine of Remembrance/St Kilda Rd (Melbourne City)"
-37.835761,144.975348,"22-Toorak Rd/St Kilda Rd (Melbourne City)"
-37.838855,144.97657,"23-Arthur St/St Kilda Rd (Melbourne City)"
-37.841159,144.977405,"24-Leopold St/St Kilda Rd (South Melbourne)"
-37.844523,144.978631,"25-Commercial Rd/St Kilda Rd (South Melbourne)"
-37.847552,144.979719,"26-Moubray St/St Kilda Rd (South Melbourne)"
-37.849864,144.980554,"27-High St/St Kilda Rd (South Melbourne)"
-37.849918,144.980541,"27-Lorne St/St Kilda Rd (Melbourne City)"
-37.802942,144.948362,"13-Curzon St/Queensberry St (North Melbourne)"
-37.803224,144.949535,"12-North Melbourne Town Hall/Errol St (North Melbourne)"
-37.799826,144.955205,"14-Royal Melbourne Hospital/Flemington Rd (North Melbourne)"
-37.796758,144.95136,"16-Harker St/Flemington Rd (North Melbourne)"
-37.794141,144.94806,"19-Royal Childrens Hospital/Flemington Rd (North Melbourne)"
-37.790474,144.94346,"20-Melrose St/Flemington Rd (North Melbourne)"
-37.788054,144.940609,"22-Flemington Bridge Station/Flemington Rd (North Melbourne)"
-37.828931,144.971229,"19-Shrine of Remembrance/St Kilda Rd (Melbourne City)"
-37.824634,144.970801,"17-Grant St-Police Memorial/St Kilda Rd (Southbank)"
-37.821517,144.969239,"14-Arts Precinct/St Kilda Rd (Southbank)"
-37.818065,144.967675,"13-Federation Square/Swanston St (Melbourne City)"
-37.81573,144.966569,"11-City Square/Swanston St (Melbourne City)"
-37.812759,144.965185,"10-Bourke Street Mall/Swanston St (Melbourne City)"
-37.809889,144.96389,"8-Melbourne Central Station/Swanston St (Melbourne City)"
-37.801587,144.974237,"12-Moor St/Nicholson St (Fitzroy)"
-37.795244,144.975319,"14-Rose St/Nicholson St (Carlton)"
-37.82806,144.958346,"126-City Rd/Clarendon St (South Melbourne)"
-37.819681,144.952215,"D14-Southern Cross Station/Collins St (Docklands)"
-37.820266,144.950131,"D15-Batman's Hill/Collins St (Docklands)"
-37.821527,144.945416,"D17-Merchant St/Collins St (Docklands)"
-37.820797,144.948038,"D16-Harbour Esp/Collins St (Docklands)"
-37.820074,144.950477,"D15-Batman's Hill/Collins St (Docklands)"
-37.819471,144.952596,"D14-Southern Cross Station/Collins St (Docklands)"
-37.820862,144.948138,"D16-Harbour Esp/Collins St (Docklands)"
-37.820801,144.942039,"D18-Bourke St/Collins St (Docklands)"
-37.835752,144.97536,"22-Toorak Rd/St Kilda Rd (Melbourne City)"
-37.83762,144.980706,"123-Fawkner Park/Toorak Rd (South Yarra)"
-37.837634,144.981047,"123-Fawkner Park/Toorak Rd (South Yarra)"
