"Place","Distance","Theme","Count"
"Melbourne Unitarian Church","500m - 1km","Health Services",2
"Melbourne Unitarian Church","500m - 1km","Leisure and Recreation",2
"Melbourne Unitarian Church","500m - 1km","Place Of Assembly",4
"Melbourne Unitarian Church","500m - 1km","Place of Worship",5
"Melbourne Unitarian Church","500m - 1km","Public and Institutional Facilities",5
"Melbourne Unitarian Church","1km - 5km","Health Services",6
"Melbourne Unitarian Church","1km - 5km","Leisure and Recreation",55
"Melbourne Unitarian Church","1km - 5km","Place Of Assembly",34
"Melbourne Unitarian Church","1km - 5km","Place of Worship",22
"Melbourne Unitarian Church","1km - 5km","Public and Institutional Facilities",47
"Melbourne Unitarian Church","1km - 5km","Retail",4
"Melbourne Unitarian Church","5km - 10km","Leisure and Recreation",7
"Melbourne Unitarian Church","5km - 10km","Place of Worship",2
"Melbourne Unitarian Church","5km - 10km","Public and Institutional Facilities",2
"All Nations Uniting Church","Within 500m","Leisure and Recreation",2
"All Nations Uniting Church","Within 500m","Place Of Assembly",3
"All Nations Uniting Church","Within 500m","Place of Worship",1
"All Nations Uniting Church","Within 500m","Public and Institutional Facilities",1
"All Nations Uniting Church","500m - 1km","Health Services",1
"All Nations Uniting Church","500m - 1km","Leisure and Recreation",6
"All Nations Uniting Church","500m - 1km","Place Of Assembly",3
"All Nations Uniting Church","500m - 1km","Place of Worship",1
"All Nations Uniting Church","500m - 1km","Public and Institutional Facilities",3
"All Nations Uniting Church","1km - 5km","Health Services",9
"All Nations Uniting Church","1km - 5km","Leisure and Recreation",54
"All Nations Uniting Church","1km - 5km","Place Of Assembly",34
"All Nations Uniting Church","1km - 5km","Place of Worship",28
"All Nations Uniting Church","1km - 5km","Public and Institutional Facilities",49
"All Nations Uniting Church","1km - 5km","Retail",4
"All Nations Uniting Church","5km - 10km","Health Services",1
"All Nations Uniting Church","5km - 10km","Leisure and Recreation",5
"All Nations Uniting Church","5km - 10km","Place of Worship",1
"All Nations Uniting Church","5km - 10km","Public and Institutional Facilities",1
"Our Lady of Lebanon Church","Within 500m","Leisure and Recreation",5
"Our Lady of Lebanon Church","Within 500m","Place Of Assembly",4
"Our Lady of Lebanon Church","Within 500m","Place of Worship",2
"Our Lady of Lebanon Church","Within 500m","Public and Institutional Facilities",1
"Our Lady of Lebanon Church","500m - 1km","Health Services",2
"Our Lady of Lebanon Church","500m - 1km","Leisure and Recreation",5
"Our Lady of Lebanon Church","500m - 1km","Place Of Assembly",8
"Our Lady of Lebanon Church","500m - 1km","Place of Worship",5
"Our Lady of Lebanon Church","500m - 1km","Public and Institutional Facilities",6
"Our Lady of Lebanon Church","1km - 5km","Health Services",9
"Our Lady of Lebanon Church","1km - 5km","Leisure and Recreation",53
"Our Lady of Lebanon Church","1km - 5km","Place Of Assembly",28
"Our Lady of Lebanon Church","1km - 5km","Place of Worship",24
"Our Lady of Lebanon Church","1km - 5km","Public and Institutional Facilities",46
"Our Lady of Lebanon Church","1km - 5km","Retail",4
"Our Lady of Lebanon Church","5km - 10km","Leisure and Recreation",4
"Our Lady of Lebanon Church","5km - 10km","Public and Institutional Facilities",1
"St Alban Anglican Church","Within 500m","Place of Worship",3
"St Alban Anglican Church","500m - 1km","Health Services",1
"St Alban Anglican Church","500m - 1km","Leisure and Recreation",3
"St Alban Anglican Church","500m - 1km","Public and Institutional Facilities",2
"St Alban Anglican Church","1km - 5km","Health Services",9
"St Alban Anglican Church","1km - 5km","Leisure and Recreation",58
"St Alban Anglican Church","1km - 5km","Place Of Assembly",39
"St Alban Anglican Church","1km - 5km","Place of Worship",25
"St Alban Anglican Church","1km - 5km","Public and Institutional Facilities",49
"St Alban Anglican Church","1km - 5km","Retail",4
"St Alban Anglican Church","5km - 10km","Health Services",1
"St Alban Anglican Church","5km - 10km","Leisure and Recreation",6
"St Alban Anglican Church","5km - 10km","Place Of Assembly",1
"St Alban Anglican Church","5km - 10km","Place of Worship",3
"St Alban Anglican Church","5km - 10km","Public and Institutional Facilities",3
"Christ Church Kensington","Within 500m","Place of Worship",2
"Christ Church Kensington","Within 500m","Public and Institutional Facilities",1
"Christ Church Kensington","500m - 1km","Leisure and Recreation",2
"Christ Church Kensington","1km - 5km","Health Services",7
"Christ Church Kensington","1km - 5km","Leisure and Recreation",48
"Christ Church Kensington","1km - 5km","Place Of Assembly",32
"Christ Church Kensington","1km - 5km","Place of Worship",24
"Christ Church Kensington","1km - 5km","Public and Institutional Facilities",46
"Christ Church Kensington","1km - 5km","Retail",4
"Christ Church Kensington","5km - 10km","Health Services",4
"Christ Church Kensington","5km - 10km","Leisure and Recreation",17
"Christ Church Kensington","5km - 10km","Place Of Assembly",8
"Christ Church Kensington","5km - 10km","Place of Worship",5
"Christ Church Kensington","5km - 10km","Public and Institutional Facilities",7
"Holy Rosary","Within 500m","Place of Worship",2
"Holy Rosary","Within 500m","Public and Institutional Facilities",1
"Holy Rosary","500m - 1km","Leisure and Recreation",2
"Holy Rosary","1km - 5km","Health Services",7
"Holy Rosary","1km - 5km","Leisure and Recreation",49
"Holy Rosary","1km - 5km","Place Of Assembly",36
"Holy Rosary","1km - 5km","Place of Worship",24
"Holy Rosary","1km - 5km","Public and Institutional Facilities",48
"Holy Rosary","1km - 5km","Retail",4
"Holy Rosary","5km - 10km","Health Services",4
"Holy Rosary","5km - 10km","Leisure and Recreation",16
"Holy Rosary","5km - 10km","Place Of Assembly",4
"Holy Rosary","5km - 10km","Place of Worship",5
"Holy Rosary","5km - 10km","Public and Institutional Facilities",5
"Melbourne Private Hospital","Within 500m","Health Services",3
"Melbourne Private Hospital","Within 500m","Leisure and Recreation",1
"Melbourne Private Hospital","Within 500m","Public and Institutional Facilities",4
"Melbourne Private Hospital","500m - 1km","Health Services",2
"Melbourne Private Hospital","500m - 1km","Leisure and Recreation",4
"Melbourne Private Hospital","500m - 1km","Place Of Assembly",2
"Melbourne Private Hospital","500m - 1km","Place of Worship",1
"Melbourne Private Hospital","500m - 1km","Public and Institutional Facilities",1
"Melbourne Private Hospital","1km - 5km","Health Services",5
"Melbourne Private Hospital","1km - 5km","Leisure and Recreation",59
"Melbourne Private Hospital","1km - 5km","Place Of Assembly",38
"Melbourne Private Hospital","1km - 5km","Place of Worship",28
"Melbourne Private Hospital","1km - 5km","Public and Institutional Facilities",48
"Melbourne Private Hospital","1km - 5km","Retail",4
"Melbourne Private Hospital","5km - 10km","Health Services",1
"Melbourne Private Hospital","5km - 10km","Leisure and Recreation",3
"Melbourne Private Hospital","5km - 10km","Place of Worship",2
"Melbourne Private Hospital","5km - 10km","Public and Institutional Facilities",1
"Royal Park Golf Course","Within 500m","Leisure and Recreation",1
"Royal Park Golf Course","500m - 1km","Leisure and Recreation",6
"Royal Park Golf Course","1km - 5km","Health Services",10
"Royal Park Golf Course","1km - 5km","Leisure and Recreation",49
"Royal Park Golf Course","1km - 5km","Place Of Assembly",37
"Royal Park Golf Course","1km - 5km","Place of Worship",28
"Royal Park Golf Course","1km - 5km","Public and Institutional Facilities",50
"Royal Park Golf Course","1km - 5km","Retail",4
"Royal Park Golf Course","5km - 10km","Health Services",1
"Royal Park Golf Course","5km - 10km","Leisure and Recreation",11
"Royal Park Golf Course","5km - 10km","Place Of Assembly",3
"Royal Park Golf Course","5km - 10km","Place of Worship",3
"Royal Park Golf Course","5km - 10km","Public and Institutional Facilities",4
"Visy Park","Within 500m","Leisure and Recreation",3
"Visy Park","500m - 1km","Leisure and Recreation",2
"Visy Park","500m - 1km","Public and Institutional Facilities",1
"Visy Park","1km - 5km","Health Services",10
"Visy Park","1km - 5km","Leisure and Recreation",57
"Visy Park","1km - 5km","Place Of Assembly",39
"Visy Park","1km - 5km","Place of Worship",28
"Visy Park","1km - 5km","Public and Institutional Facilities",49
"Visy Park","1km - 5km","Retail",4
"Visy Park","5km - 10km","Health Services",1
"Visy Park","5km - 10km","Leisure and Recreation",5
"Visy Park","5km - 10km","Place Of Assembly",1
"Visy Park","5km - 10km","Place of Worship",3
"Visy Park","5km - 10km","Public and Institutional Facilities",4
"Old Melbourne Gaol Crime & Justice Experience","Within 500m","Leisure and Recreation",1
"Old Melbourne Gaol Crime & Justice Experience","Within 500m","Place Of Assembly",3
"Old Melbourne Gaol Crime & Justice Experience","Within 500m","Place of Worship",3
"Old Melbourne Gaol Crime & Justice Experience","Within 500m","Public and Institutional Facilities",4
"Old Melbourne Gaol Crime & Justice Experience","500m - 1km","Health Services",2
"Old Melbourne Gaol Crime & Justice Experience","500m - 1km","Leisure and Recreation",7
"Old Melbourne Gaol Crime & Justice Experience","500m - 1km","Place Of Assembly",10
"Old Melbourne Gaol Crime & Justice Experience","500m - 1km","Place of Worship",10
"Old Melbourne Gaol Crime & Justice Experience","500m - 1km","Public and Institutional Facilities",15
"Old Melbourne Gaol Crime & Justice Experience","500m - 1km","Retail",3
"Old Melbourne Gaol Crime & Justice Experience","1km - 5km","Health Services",9
"Old Melbourne Gaol Crime & Justice Experience","1km - 5km","Leisure and Recreation",55
"Old Melbourne Gaol Crime & Justice Experience","1km - 5km","Place Of Assembly",27
"Old Melbourne Gaol Crime & Justice Experience","1km - 5km","Place of Worship",18
"Old Melbourne Gaol Crime & Justice Experience","1km - 5km","Public and Institutional Facilities",35
"Old Melbourne Gaol Crime & Justice Experience","1km - 5km","Retail",1
"Old Melbourne Gaol Crime & Justice Experience","5km - 10km","Leisure and Recreation",4
"Playhouse","Within 500m","Leisure and Recreation",6
"Playhouse","Within 500m","Place Of Assembly",7
"Playhouse","Within 500m","Place of Worship",1
"Playhouse","Within 500m","Public and Institutional Facilities",14
"Playhouse","500m - 1km","Leisure and Recreation",9
"Playhouse","500m - 1km","Place Of Assembly",8
"Playhouse","500m - 1km","Place of Worship",4
"Playhouse","500m - 1km","Public and Institutional Facilities",7
"Playhouse","500m - 1km","Retail",1
"Playhouse","1km - 5km","Health Services",11
"Playhouse","1km - 5km","Leisure and Recreation",47
"Playhouse","1km - 5km","Place Of Assembly",25
"Playhouse","1km - 5km","Place of Worship",26
"Playhouse","1km - 5km","Public and Institutional Facilities",33
"Playhouse","1km - 5km","Retail",3
"Playhouse","5km - 10km","Leisure and Recreation",5
"Batman Park","Within 500m","Leisure and Recreation",4
"Batman Park","Within 500m","Place Of Assembly",4
"Batman Park","500m - 1km","Leisure and Recreation",3
"Batman Park","500m - 1km","Place Of Assembly",3
"Batman Park","500m - 1km","Place of Worship",2
"Batman Park","500m - 1km","Public and Institutional Facilities",16
"Batman Park","1km - 5km","Health Services",11
"Batman Park","1km - 5km","Leisure and Recreation",58
"Batman Park","1km - 5km","Place Of Assembly",33
"Batman Park","1km - 5km","Place of Worship",29
"Batman Park","1km - 5km","Public and Institutional Facilities",38
"Batman Park","1km - 5km","Retail",4
"Batman Park","5km - 10km","Leisure and Recreation",2
"Australian Red Cross","Within 500m","Health Services",3
"Australian Red Cross","Within 500m","Place of Worship",1
"Australian Red Cross","Within 500m","Public and Institutional Facilities",4
"Australian Red Cross","500m - 1km","Health Services",1
"Australian Red Cross","500m - 1km","Leisure and Recreation",5
"Australian Red Cross","500m - 1km","Place of Worship",3
"Australian Red Cross","500m - 1km","Public and Institutional Facilities",1
"Australian Red Cross","1km - 5km","Health Services",6
"Australian Red Cross","1km - 5km","Leisure and Recreation",60
"Australian Red Cross","1km - 5km","Place Of Assembly",40
"Australian Red Cross","1km - 5km","Place of Worship",25
"Australian Red Cross","1km - 5km","Public and Institutional Facilities",48
"Australian Red Cross","1km - 5km","Retail",4
"Australian Red Cross","5km - 10km","Health Services",1
"Australian Red Cross","5km - 10km","Leisure and Recreation",2
"Australian Red Cross","5km - 10km","Place of Worship",2
"Australian Red Cross","5km - 10km","Public and Institutional Facilities",1
"Melbourne Exhibition Centre","Within 500m","Leisure and Recreation",2
"Melbourne Exhibition Centre","Within 500m","Place Of Assembly",4
"Melbourne Exhibition Centre","Within 500m","Public and Institutional Facilities",1
"Melbourne Exhibition Centre","500m - 1km","Leisure and Recreation",5
"Melbourne Exhibition Centre","500m - 1km","Place Of Assembly",2
"Melbourne Exhibition Centre","500m - 1km","Place of Worship",1
"Melbourne Exhibition Centre","500m - 1km","Public and Institutional Facilities",7
"Melbourne Exhibition Centre","1km - 5km","Health Services",11
"Melbourne Exhibition Centre","1km - 5km","Leisure and Recreation",58
"Melbourne Exhibition Centre","1km - 5km","Place Of Assembly",34
"Melbourne Exhibition Centre","1km - 5km","Place of Worship",30
"Melbourne Exhibition Centre","1km - 5km","Public and Institutional Facilities",46
"Melbourne Exhibition Centre","1km - 5km","Retail",4
"Melbourne Exhibition Centre","5km - 10km","Leisure and Recreation",2
"Polly Woodside","Within 500m","Leisure and Recreation",2
"Polly Woodside","Within 500m","Place Of Assembly",4
"Polly Woodside","Within 500m","Public and Institutional Facilities",2
"Polly Woodside","500m - 1km","Leisure and Recreation",4
"Polly Woodside","500m - 1km","Place Of Assembly",2
"Polly Woodside","500m - 1km","Place of Worship",1
"Polly Woodside","500m - 1km","Public and Institutional Facilities",3
"Polly Woodside","1km - 5km","Health Services",11
"Polly Woodside","1km - 5km","Leisure and Recreation",59
"Polly Woodside","1km - 5km","Place Of Assembly",34
"Polly Woodside","1km - 5km","Place of Worship",30
"Polly Woodside","1km - 5km","Public and Institutional Facilities",49
"Polly Woodside","1km - 5km","Retail",4
"Polly Woodside","5km - 10km","Leisure and Recreation",2
"Victorian Arts Centre","Within 500m","Leisure and Recreation",6
"Victorian Arts Centre","Within 500m","Place Of Assembly",7
"Victorian Arts Centre","Within 500m","Place of Worship",1
"Victorian Arts Centre","Within 500m","Public and Institutional Facilities",14
"Victorian Arts Centre","500m - 1km","Leisure and Recreation",9
"Victorian Arts Centre","500m - 1km","Place Of Assembly",8
"Victorian Arts Centre","500m - 1km","Place of Worship",4
"Victorian Arts Centre","500m - 1km","Public and Institutional Facilities",8
"Victorian Arts Centre","1km - 5km","Health Services",11
"Victorian Arts Centre","1km - 5km","Leisure and Recreation",47
"Victorian Arts Centre","1km - 5km","Place Of Assembly",25
"Victorian Arts Centre","1km - 5km","Place of Worship",26
"Victorian Arts Centre","1km - 5km","Public and Institutional Facilities",32
